"","Threat","Deprivation","Latent Internalizing","Latent Externalizing"
"Threat",1,0.32,0.22,0.35
"Deprivation",0.32,1,0.29,0.3
"AB: Attention bias threat",-0.01,-0.02,0.02,-0.03
"ER: Adaptation to emotional conflict",0.03,0.05,-0.03,0.02
"ER: Stroop - fear",-0.12,0.08,-0.02,-0.02
"ER: Stroop - happy",-0.05,-0.03,0.01,-0.02
"ToM: Accuracy on affective trials",-0.13,-0.19,-0.05,-0.13
"ToM: Accuracy on cognitive trials",-0.17,-0.18,-0.1,-0.16
"FC: Skin conductance response to CS+ vs CS-",0.08,0.02,0.03,0.09
"PT: Tanner stage",-0.05,-0.09,0.15,0.13
"AL: Language ability",-0.14,-0.26,-0.01,-0.07
"AR: Reasoning ability",-0.18,-0.13,-0.08,-0.14
"IC: Reaction time on inhibit trials",0.14,-0.01,0,0.04
"IC: Reaction time on switch trials",0.09,0.04,0.09,0.09
"IC: Accuracy on Stroop task",-0.1,-0.02,-0.03,-0.08
"RS: Reaction time on high- vs low-reward trials",-0.16,-0.07,-0.21,-0.12
"RS: Total stars",-0.04,-0.08,-0.06,-0.22
"Latent Internalizing",0.22,0.29,1,0.72
"Latent Externalizing",0.35,0.3,0.72,1
